video_id,event_time,price,bull_words,bear_words,narrative_polarity,SRCluster,BreakRetestScore,PatternPressure,MomentumExhaustion,VolConfirmScore,InvalidationDistance,NarrativeConsistency,target_24h,target_72h
KotA8yAtHHY,2026-02-20 13:00:00,66801.62,26,65,-0.4285714238618525,-4.558272688615644e-05,2.0,0.21,0.11886131670954996,-3.0,5.024295671594403,-0.4285714238618525,0.021831356784461464,-0.010014128399880029
D4pPxbdgi3s,2026-02-21 13:00:00,68259.99,16,57,-0.5616438279226873,-0.00037064171852358764,-1.5081597691845414,1.7999999999999998,-0.294844702162315,-0.5410657130687985,0.06766747813509653,-0.5616438279226873,-0.008901407691387031,-0.07852315829521805
KqleXdTwIwU,2026-02-22 13:00:00,67652.38,21,52,-0.42465752842934895,-0.0017396283767105063,2.0,2.04,-0.3864137152819291,-0.007051645547442968,15.804806099145532,0.42465752842934895,-0.02246365907600001,-0.020749602600825146
uEy49ffWGoU,2026-02-23 13:00:00,66132.66,27,65,-0.4130434737712666,-0.0022309702951611742,2.0,0.21,-0.47002638325743024,-0.13642203520016327,2.819040425018725,0.4130434737712666,-0.04888144526471494,0.02680506122088544
yTu1n_dKl_A,2026-02-24 13:00:00,62900.0,20,56,-0.4736842042936289,-0.0031669316375198264,2.0,0.12,-1.1650180124633192,-1.1648657698563412,5.620087055756367,0.4736842042936289,0.05323720190779002,
eeQ8Bg50diQ,2026-02-25 13:00:00,66248.62,24,93,-0.5897435847030463,-0.0004766891748084979,-0.5919083555172513,0.12,-0.9387762099062189,1.281423954723719,2.9886864790847225,-0.5897435847030463,0.025007766199507397,
k7eHlz99ayA,2026-02-26 05:00:00,68443.81,65,57,0.06557376995431337,-0.0031367336213457774,1.8869021359666545,3.0,-0.46420615382453745,0.8204122308654481,5.011158301602978,0.06557376995431337,,
xPOugWrInzk,2026-02-26 13:00:00,67905.35,50,85,-0.2592592573388203,-9.822495576560983e-05,2.0,0.6,0.05049570552230534,0.509187407002332,37.81995306866605,-0.2592592573388203,,
xMD_SWVPvAA,2026-02-26 13:00:00,67905.35,0,0,0.0,-9.822495576560983e-05,2.0,0.0,0.05049570552230534,0.509187407002332,,0.0,,
3bIZalLJLdE,2026-02-26 13:00:00,67905.35,17,48,-0.47692306958579894,-9.822495576560983e-05,2.0,1.44,0.05049570552230534,0.509187407002332,,-0.47692306958579894,,
nqy9lvUwagw,2026-02-26 13:00:00,67905.35,69,74,-0.034965034720524237,-9.822495576560983e-05,2.0,1.02,0.05049570552230534,0.509187407002332,40.09938972217427,-0.034965034720524237,,
Q53xsBwHusY,2026-02-26 13:00:00,67905.35,32,28,0.06666666555555557,-9.822495576560983e-05,2.0,3.0,0.05049570552230534,0.509187407002332,19.984361007882413,0.06666666555555557,,
taSa1oW2R8M,2026-02-26 13:00:00,67905.35,41,29,0.17142856897959188,-9.822495576560983e-05,2.0,0.0,0.05049570552230534,0.509187407002332,,0.17142856897959188,,
DbgckoDMzxo,2026-02-26 13:00:00,67905.35,55,49,0.05769230713757397,-9.822495576560983e-05,2.0,1.1199999999999999,0.05049570552230534,0.509187407002332,26.18282910075565,0.05769230713757397,,
OAl4kfOAGIY,2026-02-26 13:00:00,67905.35,9,43,-0.6538461412721897,-9.822495576560983e-05,2.0,2.46,0.05049570552230534,0.509187407002332,,-0.6538461412721897,,
8UwG24L3Rtk,2026-02-26 13:00:00,67905.35,9,10,-0.05263157617728546,-9.822495576560983e-05,2.0,1.23,0.05049570552230534,0.509187407002332,,-0.05263157617728546,,
A43YBAmSr68,2026-02-26 13:00:00,67905.35,19,55,-0.4864864799123449,-9.822495576560983e-05,2.0,3.0,0.05049570552230534,0.509187407002332,,-0.4864864799123449,,
